joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Norvège,,58,,
,,,,,,
Ståle Solbakken,,,,,,
,GA,Sevilla,1,35,192 cm,"451,3 k €"
,,,,,,
Ørjan Håskjold Nyland,,,,,,
,GA,Hamburger SV,12,23,193 cm,3 M €
,,,,,,
Sander Tangvik,,,,,,
,GA,Watford,13,28,192 cm,"1,2 M €"
,,,,,,
Egil Selvik,,,,,,
,"DC, DG",Brentford,3,28,196 cm,"20,5 M €"
,,,,,,
Kristoffer Ajer,,,,,,
,DC,Genoa,4,26,182 cm,"8,4 M €"
,,,,,,
Leo Østigard,,,,,,
,DC,Bologna,17,27,192 cm,"14,7 M €"
,,,,,,
Torbjørn Heggem,,,,,,
,"DC, DD",Derby County,24,25,190 cm,"2,6 M €"
,,,,,,
Sondre Klingen Langås,,,,,,
,DC,Viking,25,23,194 cm,"4,2 M €"
,,,,,,
Henrik Falchener,,,,,,
,"DG, MG, DLG",Wolverhampton Wanderers,5,24,185 cm,"9,6 M €"
,,,,,,
David Møller Wolfe,,,,,,
,DG,Bodø/Glimt,15,27,180 cm,"2,4 M €"
,,,,,,
Fredrik André Bjørkan,,,,,,
,"DLD, DD, MD, DC, DLG",Borussia Dortmund,26,28,183 cm,"24,1 M €"
,,,,,,
Julian Ryerson,,,,,,
,"MD, MC",Fulham,8,28,193 cm,"27,1 M €"
,,,,,,
Sander Berge,,,,,,
,"MD, AD, DD, MD, MC, AG",Benfica,14,30,179 cm,"16,4 M €"
,,,,,,
Fredrik Aursnes,,,,,,
,MC,Cremonese,2,30,186 cm,"2,3 M €"
,,,,,,
Morten Thorsby,,,,,,
,MC,Bodø/Glimt,6,28,178 cm,"3,9 M €"
,,,,,,
Patrick Berg,,,,,,
,"MC, MO",Arsenal,10,27,176 cm,"65,4 M €"
,,,,,,
Martin Ødegaard,,,,,,
,"MC, MO",Sassuolo,18,27,189 cm,"10,8 M €"
,,,,,,
Kristian Thorstvedt,,,,,,
,"MD, DLD, DD",Torino,16,25,183 cm,"2,9 M €"
,,,,,,
Marcus Holmgren Pedersen,,,,,,
,"MO, MC, AD",Rangers,19,24,188 cm,"2,3 M €"
,,,,,,
Thelo Aasgaard,,,,,,
,"AD, MD, AG",Fulham,22,22,174 cm,"36,9 M €"
,,,,,,
Oscar Bobb,,,,,,
,"AG, MG",RB Leipzig,20,21,180 cm,"44,4 M €"
,,,,,,
Antonio Nusa,,,,,,
,"AG, MG",Benfica,21,22,176 cm,"21,9 M €"
,,,,,,
Andreas Schjelderup,,,,,,
,AG,Bodø/Glimt,23,26,184 cm,"4,2 M €"
,,,,,,
Jens Petter Hauge,,,,,,
,"ATT, AD",Atletico Madrid,7,30,193 cm,"22,4 M €"
,,,,,,
Alexander Sørloth,,,,,,
,ATT,Manchester City,9,25,194 cm,"141,8 M €"
,,,,,,
Erling Haaland,,,,,,
,ATT,Crystal Palace,11,26,193 cm,"49,7 M €"
,,,,,,
Jørgen Strand Larsen,,,,,,
